19	37	18
37	19	20
1	69	0
69	1	2
0	69	17
40	82	41
82	40	78
69	2	3
1	0	36
38	40	41
40	38	39
69	68	17
2	1	41
41	1	36
69	4	70
4	69	3
3	2	48
52	34	35
34	52	33
70	4	5
4	3	48
59	5	48
5	59	6
70	6	71
6	70	5
5	4	48
55	11	10
11	55	54
71	6	7
39	27	78
27	39	21
71	7	8
7	6	58
30	35	34
35	30	77
71	8	9
8	7	57
10	72	71
72	10	11
10	71	9
9	8	56
12	72	11
72	12	73
10	9	56
46	14	83
14	46	15
76	30	31
30	76	29
73	12	13
12	11	54
82	48	2
48	82	80
73	13	14
13	12	54
18	36	17
36	18	37
73	14	15
14	13	54
73	15	16
36	0	17
16	74	73
74	16	26
16	15	45
22	43	42
43	22	23
38	41	37
17	68	18
77	30	29
18	68	19
22	42	27
19	75	20
75	19	68
21	22	27
22	21	20
20	21	38
83	77	79
77	83	35
77	28	79
28	77	29
27	42	79
22	20	23
23	20	75
44	25	45
25	44	24
23	24	43
24	23	75
75	25	24
25	75	74
74	26	25
16	45	26
25	26	45
14	54	83
27	28	78
28	27	79
54	55	64
49	31	50
31	49	80
28	29	76
33	51	50
51	33	52
50	31	32
57	7	58
49	59	60
59	49	61
31	30	32
8	57	56
32	30	33
32	33	50
33	30	34
83	54	81
43	46	47
46	43	44
78	28	76
36	37	41
37	20	38
38	21	39
40	39	78
82	78	76
2	41	82
46	44	45
24	44	43
42	43	47
45	15	46
47	83	79
83	47	46
42	47	79
80	49	60
62	67	61
67	62	66
49	50	61
62	61	51
50	51	61
65	55	56
55	65	63
51	52	63
52	35	53
53	63	52
63	53	55
53	35	81
53	81	64
55	53	64
55	10	56
51	63	62
59	61	67
56	57	66
57	58	66
58	6	59
59	48	60
58	59	67
60	48	80
67	66	58
56	66	65
62	63	65
54	64	81
62	65	66
82	76	31
31	80	82
81	35	83
