17	37	36
37	17	18
1	69	0
69	1	2
0	69	68
50	31	32
31	50	49
69	2	3
1	0	36
31	3	2
3	31	49
2	1	41
66	58	67
58	66	57
69	3	4
31	2	41
4	70	69
70	4	5
4	3	48
31	41	40
70	6	7
6	70	5
5	4	48
54	13	12
13	54	35
70	7	71
6	5	48
21	27	39
27	21	22
71	7	8
7	6	58
35	30	29
30	35	34
71	8	9
8	7	57
71	9	10
9	8	56
11	72	71
72	11	12
10	9	55
35	29	42
13	72	12
72	13	73
10	11	71
11	10	54
47	44	46
44	47	43
12	11	54
40	29	30
29	40	39
73	13	14
19	37	18
37	19	20
73	14	15
14	13	35
37	20	38
73	15	16
15	14	45
74	73	16
16	15	45
42	29	28
0	68	17
37	40	41
40	37	38
0	17	36
17	68	18
1	36	41
20	75	21
75	20	19
19	18	68
22	75	23
75	22	21
42	22	43
22	42	27
20	21	38
27	42	28
43	23	44
23	43	22
75	19	68
44	23	24
24	23	75
75	25	24
25	75	74
74	16	26
24	25	44
74	26	25
16	45	26
25	26	45
35	54	53
40	30	31
27	28	39
33	51	50
51	33	52
28	29	39
51	63	62
63	51	52
3	49	48
8	57	56
7	58	57
31	30	32
61	50	51
50	61	49
32	30	33
10	55	54
32	33	50
33	30	34
33	34	52
14	35	46
34	35	52
46	44	45
40	38	39
36	37	41
38	21	39
35	42	47
14	46	45
42	43	47
44	25	45
46	35	47
6	48	59
48	49	60
63	52	53
65	53	55
53	65	63
52	35	53
54	55	64
53	54	64
55	53	64
55	9	56
62	67	61
67	62	66
55	56	65
49	61	60
56	57	66
60	67	59
67	60	61
58	6	59
59	48	60
58	59	67
61	51	62
56	66	65
63	65	66
62	63	66
